Iteration,Distance
25,747.4405810033111
25,846.8709720646577
50,756.5159276663134
50,680.7101767871069
75,621.7938691765827
75,774.1107846888935
100,817.1464761901801
100,695.2804851058971
125,730.9898876214885
125,737.1539697601264
150,545.5322261791393
150,686.4671421353814
175,694.9806221565445
175,655.2661191768485
200,634.2485237939627
200,700.2996353680415
225,640.7902308767119
225,710.1803949528627
250,662.5520368481899
250,634.6728182645071
275,627.7820030754054
275,637.8958195336777
300,594.2895744262593
300,632.8339079589595
325,609.8617686198402
325,586.2536589026629
350,622.3506417374132
350,637.3913173187311
375,639.6081397253173
375,580.9020561763834
400,606.8770522370581
400,620.8079218831203
425,590.708007730417
425,638.0549270226263
450,641.4337303604549
450,549.4106290409611
475,557.4788532717065
475,580.0555339185509
500,612.9463977637537
500,691.4191591155017
