Iteration,Distance
25,1191.8952996485546
25,1127.6263165103287
50,1480.625440601167
50,1405.3424613586296
75,1356.6786196268822
75,1342.543502084415
100,1414.7133933069467
100,1588.6559239835983
125,1680.3183802259794
125,1420.4738729627088
150,1588.2881753900344
150,1572.7870116614195
175,1549.2494145367293
175,1382.2843771450455
200,1334.3155008862284
200,1467.1208753549442
225,1520.6525388987634
225,1596.731074228381
250,1525.1543424260678
250,1466.8911983219195
275,1348.221084691479
275,1414.240688576063
300,1438.1038602048395
300,1208.4072169236954
325,1441.972126212269
325,1281.6856155149253
350,1620.4244887379127
350,1228.8513480626648
375,1399.3673624763642
375,1427.2747803730183
400,1265.5285865937008
400,1329.558255974408
425,1301.5774127460588
425,1469.8690192060271
450,1264.1054545411776
450,1394.7517599129174
475,1365.7806480596203
475,1121.3340763256024
500,1426.3023543183865
500,1180.2327508919473
