Iteration,Distance
25,1210.0801150334983
25,1024.5734341299753
50,1353.7709204840166
50,1156.2571899091429
75,1373.5092968201075
75,1483.8900995197012
100,1331.7596064623829
100,1434.8558754048222
125,1677.8906344700724
125,1654.3020117236267
150,1591.365937846311
150,1324.3633998708078
175,1511.1849263098939
175,1486.2043642965493
200,1298.5576190639847
200,1551.8059730730747
225,1452.6490994550945
225,1563.4966305603837
250,1460.2379690038385
250,1494.9524968777512
275,1274.639639588178
275,1350.985227968018
300,1458.8329303319179
300,1374.5813097623757
325,1392.5361109930348
325,1528.558317691897
350,1315.360586587492
350,1528.0666556857245
375,1360.7327464133086
375,1252.1195986483622
400,1301.6946009979395
400,1271.1245936567364
425,1429.9149144491957
425,1458.300115299948
450,1318.7312593918498
450,1510.0245436065659
475,1349.758319011921
475,1411.8382518909416
500,1343.4923896778928
500,1283.1610019278348
