Iteration,Distance
25,514.8194490512965
25,567.0015333322635
50,545.7366222430322
50,536.16190844075
75,536.9033853115484
75,548.2075038781902
100,578.4662025474681
100,510.99394410846077
125,573.491558591638
125,562.0367535045305
150,527.3590903745253
150,524.973553485157
175,557.2728532617521
175,541.9546094468974
200,495.78955347993826
200,496.17192094385234
225,535.6508596208757
225,552.5171206545369
250,544.3152815670815
250,558.7468227292233
275,523.1759176923547
275,480.3718021123477
300,530.717221781658
300,581.5256336740918
325,547.8545460961268
325,532.18251485793
350,510.99818917276025
350,544.0134171311526
375,539.5195972231908
375,509.87629484218024
400,477.04997752273533
400,528.1371725185357
425,522.2857618931284
425,494.6671038916985
450,510.4777417013505
450,518.1897248677378
475,521.5861424634603
475,524.6498520186219
500,497.6438589164538
500,490.31801777255663
