Iteration,Distance
25,33594.13709068103
25,33950.63905334494
25,33174.83009611925
25,32964.89432924528
25,34370.018226496526
25,34569.44103510635
25,32007.414800723618
25,34643.373236149295
25,34312.329284569765
25,31965.89213443128
25,34421.49200128541
25,33062.0509786823
25,33268.76608140697
25,34735.15107265029
25,32767.57266428048
25,34304.512855394765
25,35831.686140992206
25,31758.842536278247
25,34305.10586970865
25,33958.62173251615
25,32665.526931350516
25,33722.78479994862
25,33242.58283181043
25,33199.54560199616
25,34131.231347028515
25,33096.85820563913
25,33881.981000120875
25,32831.685358877636
25,32877.63920058864
25,34243.03549680276
25,34088.037479631625
25,33242.57527386507
25,34213.97484049768
25,35966.99580366153
25,33243.21771064401
25,33415.62607064575
25,32783.07815116738
25,33310.91646284034
25,34843.35106271505
25,36109.8885950593
25,34174.47873190669
25,34274.46938634592
25,33597.84041071987
25,31935.186786271133
25,35064.39393168523
25,34479.19094131475
25,33880.895432745456
25,34441.87934045076
25,33457.79620735396
25,32637.793430414687
50,32626.53974442614
50,33627.24721949034
50,33018.44577364115
50,32708.132228872575
50,33997.84656718264
50,34022.61248892794
50,31249.020565869265
50,33914.44563144511
50,33630.59024698646
50,31794.526843161486
50,33925.396425945684
50,32825.340635188346
50,32870.279074040096
50,33930.167948084316
50,32384.782464866057
50,33483.45368475249
50,35076.218699492805
50,31400.01837371096
50,33733.42168172419
50,33891.32135724515
50,32087.438288313006
50,33403.148884578695
50,32493.30175036146
50,32687.300008082348
50,33455.32513069936
50,32602.486224736767
50,33149.29100608498
50,32445.990173462153
50,32578.093750355507
50,33714.810762269386
50,33349.56181691332
50,32563.088620546263
50,33812.04557820867
50,34645.6829598868
50,32191.66616977396
50,33152.44086961235
50,31705.823708997224
50,32736.402801187345
50,33962.58781546031
50,35732.93125642474
50,34010.312716711036
50,33244.11402465808
50,33554.22416056899
50,31149.542862671966
50,34380.06156599271
50,33864.256891686215
50,33175.62567097387
50,34002.73916490815
50,32920.72932215823
50,31825.502277291936
75,32241.357311212203
75,32965.86107190501
75,32398.915420974383
75,32367.757609628658
75,33661.27411114637
75,32934.93341889006
75,30996.2725620287
75,33104.034599981125
75,32868.18376451265
75,31297.206040422654
75,33694.30939788451
75,32370.20686496964
75,32390.10713039313
75,33812.4128730967
75,31981.14176247512
75,32595.525464208855
75,33819.71965076455
75,31005.261819043164
75,33213.988845864464
75,33569.55365935014
75,31749.733546279163
75,32629.465052897074
75,32023.52206578459
75,32355.40809904056
75,32681.312579902413
75,32335.082104280806
75,32891.75039726132
75,31492.63585073242
75,31989.788983518403
75,33619.13724190643
75,32232.55927614556
75,32300.06296187917
75,33398.39451325676
75,33856.60205267924
75,31931.714303050205
75,32415.35919508482
75,31259.243238003477
75,31880.158215736268
75,33433.4673233334
75,35128.87065581124
75,33668.989916762424
75,32771.99795151333
75,33418.56154503107
75,29705.218909796924
75,33883.58378064264
75,32135.57842271758
75,32875.93780858798
75,33413.45318721712
75,32777.238802149936
75,31381.756901705874
100,32018.560032056714
100,32279.21221063455
100,31852.083044682473
100,31503.68951560342
100,33088.928469368955
100,32293.569179896767
100,30168.763992706852
100,32347.792097386377
100,32181.76508547021
100,30821.558283919814
100,33240.6794751171
100,31729.21043377318
100,31750.75729732506
100,33314.99123414674
100,31295.894844451894
100,32054.78595987543
100,33072.604696567934
100,30542.878525904536
100,32372.022950101196
100,33120.333705763514
100,31133.9156618926
100,32276.084492576905
100,31578.8950800257
100,31782.618310222104
100,32073.451818569618
100,32099.020149213386
100,32383.10509142102
100,31191.402446269538
100,31331.435028462325
100,32803.56806226829
100,31309.036269231146
100,31641.485085724897
100,33162.81915607349
100,33436.54285316033
100,31080.652663064546
100,32017.580709909285
100,30806.791673627555
100,31401.827388660477
100,32743.752028074952
100,34487.58415870906
100,33110.0047802107
100,32167.15087277969
100,33230.43310311191
100,28946.020590640717
100,33666.80380463901
100,31533.05794597542
100,31974.71964465579
100,32530.59015428448
100,32485.08428721929
100,30743.498648370343
125,31891.93514027956
125,31995.79276558703
125,31266.458704813525
125,31146.905653680187
125,32888.30952413759
125,31962.415032764762
125,29479.14403863067
125,32020.760367803734
125,31604.62649175561
125,30417.743169344787
125,33115.19387945467
125,31590.522536639233
125,31629.675673703543
125,32625.054650573016
125,30897.710242848523
125,31686.429911700765
125,32550.600736681077
125,30434.276318887918
125,31926.143882267992
125,32673.751917250207
125,30637.283381483463
125,31539.511726608092
125,31455.650243913882
125,31239.28800813001
125,31217.399854816496
125,31682.29010513688
125,32210.34408796757
125,30633.684199697498
125,30914.770963147363
125,32287.373955674557
125,31170.70920506266
125,30998.785931145147
125,32760.882028693082
125,32574.00115592045
125,30987.343897251107
125,31161.59027290521
125,30619.23933391483
125,30456.234611897737
125,31890.684624886075
125,34135.887421912885
125,32577.751208829675
125,31104.143965868916
125,31858.457400940148
125,28633.033040386432
125,32007.697538257773
125,31396.645190349886
125,31614.16785420273
125,31818.468197347393
125,32073.31456487351
125,30519.856520848327
150,31375.325178926843
150,31635.058443283855
150,31115.729282221186
150,30932.39911719628
150,32456.315823903013
150,31558.616143369054
150,28884.597780105356
150,31604.792918435007
150,31148.17213316213
150,30376.215160825464
150,32241.28489167422
150,31209.536590913405
150,31099.917105443306
150,31824.00252257329
150,30567.659089980214
150,30766.666337933442
150,31980.934138256136
150,30011.49715347234
150,31493.154630498335
150,32099.594190887703
150,30044.472444299954
150,30738.29049792996
150,30743.441113409313
150,30797.690195638108
150,31093.750887020793
150,31642.875480460683
150,31772.176843750163
150,30240.453697021818
150,30286.421491455294
150,32181.784530306664
150,30922.131317237767
150,30746.19826325286
150,32313.582222905578
150,31483.183973224484
150,30566.78752501143
150,31030.60399872417
150,29762.84847762374
150,29915.014607892525
150,30635.713111479377
150,33278.81645512448
150,31929.278719790775
150,30409.515616196462
150,31594.360381107836
150,27839.242380973457
150,31387.794205612
150,31312.42349766574
150,30925.402512431418
150,31662.65865773559
150,31634.442750603514
150,30219.124940926013
175,31008.138736494355
175,31142.950983669958
175,30501.37689865963
175,30394.61382143365
175,32005.988205277095
175,31203.147393313167
175,28326.98590924114
175,30724.088727151386
175,30744.331696554847
175,30227.474924042603
175,31532.22670048213
175,31159.46649597402
175,30543.041078405084
175,31359.723291589948
175,30264.98208598308
175,30300.39717405353
175,31573.77684331837
175,29709.35856953461
175,31180.09882031292
175,32010.518233072016
175,29734.3756340434
175,29873.356194514094
175,30333.389420783984
175,30608.001210482296
175,30540.688925961556
175,31564.10038857242
175,31336.62769607443
175,29835.62883981486
175,29845.738815640645
175,31992.111202463177
175,30702.54024894442
175,30559.942107757393
175,31886.52211080481
175,30900.760371283286
175,29880.47705791621
175,30990.85935065567
175,29323.89191144182
175,29906.0905328925
175,30435.362329204156
175,32793.38806815803
175,31428.083113130502
175,29939.120839166248
175,31219.653152020088
175,27219.73804766649
175,30392.48037547422
175,30597.984199743147
175,30734.461094023467
175,31135.305101978855
175,30865.69824859453
175,29560.44517111197
200,30222.174712510146
200,30903.23155995171
200,30302.572299986055
200,29668.031414943183
200,31350.952899500677
200,30329.068696288705
200,27951.16930276046
200,30305.487343039385
200,30572.6782563255
200,29683.5372234062
200,31401.759654837333
200,30682.008685278597
200,29696.368391853655
200,31223.186247946607
200,30099.754297992684
200,29881.309176087536
200,30949.07071913235
200,29653.54692874397
