Iteration,Distance
25,1584.2810869958305
25,1498.4114130228465
25,1508.4982738963627
25,1563.5639704416114
25,1513.3139823801364
25,1783.8703461766106
25,1543.9505392959147
25,1432.5418389307351
25,1608.8379983754535
25,1491.8709494526101
25,1604.9849841817222
25,1559.9814799043022
25,1584.1801118965914
25,1468.5396086588003
25,1678.2999789357204
25,1632.0124918249883
25,1608.5970585079276
25,1526.6960174310173
25,1401.554992247541
25,1551.5567725274038
25,1514.4226804218513
25,1772.5969262539086
25,1596.225360515349
25,1596.4935488784402
25,1513.479089205732
25,1623.7046113285976
25,1457.8990887420823
25,1620.2135083045384
25,1595.3755067169961
25,1546.850845410426
25,1479.8921992028575
25,1670.7940633040912
25,1547.4180735971402
25,1571.4268151380277
25,1604.9435179300215
25,1569.7213959768262
25,1636.0368907149539
25,1603.6293422993774
25,1462.6001284574797
25,1693.7721769167972
25,1457.7677173602199
25,1575.099890777784
25,1427.9700213600956
25,1724.6428611666709
25,1524.9656154356737
25,1418.400627269868
25,1723.7701540298522
25,1542.5733107303797
25,1603.517887738904
25,1497.3184554964462
50,1525.1892772344804
50,1412.4609776934271
50,1313.062592125849
50,1470.0304159418893
50,1304.7925138326407
50,1516.5294387861102
50,1390.5610379523964
50,1387.219474780218
50,1507.2845963826608
50,1409.3205832555902
50,1499.9160442928073
50,1423.7885196163272
50,1440.2065354248584
50,1343.3254430499364
50,1504.8325089376376
50,1493.7331386732235
50,1488.4160829142302
50,1526.4176508534727
50,1342.1608721393072
50,1412.8488235329144
50,1377.9582673662615
50,1606.4611960100594
50,1418.5606489128293
50,1536.794780170631
50,1314.7841923696792
50,1451.7560446542245
50,1409.5693013021967
50,1593.0152854612754
50,1432.92391492965
50,1463.6820029873215
50,1360.670383238717
50,1555.8860448212895
50,1408.41454734712
50,1478.2255090205122
50,1460.9959410363497
50,1393.350483500416
50,1452.2968168909056
50,1452.2784296747075
50,1373.1751291043538
50,1573.644978057369
50,1289.8871214973087
50,1436.2820047586615
50,1363.7107849738131
50,1484.2447691638117
50,1416.3311005950418
50,1240.7200980771013
50,1502.3388104889484
50,1337.8255364152321
50,1482.7162745659346
50,1304.659438291693
75,1385.5234858438614
75,1327.3577789511348
75,1198.0667716308485
75,1341.2764237126235
75,1202.0106645868568
75,1383.3281963057611
75,1207.8323275401858
75,1303.0376035736952
75,1370.770030557386
75,1362.7064836459283
75,1456.1899197357257
75,1373.5266553482234
75,1366.3592734714139
75,1245.0110987975374
75,1390.1674950890742
75,1424.6542219350308
75,1221.4484274573852
75,1498.1655698310278
75,1231.2759022659973
75,1333.2554607533946
75,1321.1448638968614
75,1467.5097798113184
75,1347.74894464366
75,1423.4247051545258
75,1283.711753554846
75,1384.7014786886464
75,1272.5689979874212
75,1471.1785358892635
75,1326.9322627917272
75,1423.7213719268352
75,1267.4936437699016
75,1452.3444480618093
75,1229.0663091295435
75,1344.2435123379346
75,1285.9313697236862
75,1300.4478219676275
75,1315.2692299778064
75,1362.2077706700381
75,1208.382852040966
75,1448.2616630545203
75,1263.047682073489
75,1292.5485063516578
75,1254.2626712284891
75,1286.2655687226606
75,1338.7996545121525
75,1213.1092287905785
75,1352.1731335290185
75,1238.8486313038434
75,1310.1308416556374
75,1228.9001198670658
100,1332.2503776154363
100,1266.4952656887924
100,1160.1576110258884
100,1266.841291458431
100,1184.4483520090234
100,1270.8236196896694
100,1183.5337631034643
100,1246.300274782765
100,1233.731274775525
100,1268.3437312199808
100,1361.1925525657107
100,1204.6042994106929
100,1305.733446093485
100,1163.762702050782
100,1260.2880495054794
100,1323.6155067316033
100,1185.103613363117
100,1375.889876310939
100,1139.0297100072619
100,1141.2340326818453
100,1260.3320505706367
100,1392.8894731296516
100,1277.2540476147014
100,1267.139100876306
100,1221.4108205911286
100,1249.740750389482
100,1190.7942100348232
100,1353.133017512622
100,1254.0596898635583
100,1227.681981970378
100,1231.3195664566347
100,1333.6461412478886
100,1191.804964420189
100,1239.3681858542375
100,1256.9392312901687
100,1222.047679717348
100,1205.0217480630472
100,1245.7143186783737
100,1098.7647634577768
100,1253.712721086481
100,1211.141974417422
100,1266.429031968198
100,1142.5661777910882
100,1231.774142242128
100,1284.187977090452
100,1184.9628308775439
100,1294.2390117906316
100,1156.1099969191894
100,1260.4863441931964
100,1152.860558201803
125,1320.1336567614187
125,1246.8011861477476
125,1059.7927179217418
125,1172.2237006228568
125,1141.1958300640604
125,1217.4553742258147
125,1111.4618305909087
125,1211.1982538793354
125,1123.506105369161
125,1229.7215343812688
125,1290.4663795873198
125,1104.9030243708514
